file              min_sup     min_conf                                                                                                                                                                                            
out1_untappd.csv  0.005       0.6                                                                                                                                                                                                 
support           confidence  antecedent                                                                                                                                                                                          consequent
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Firestone Walker Brewing Company+805 Blonde}-{Sierra Nevada Brewing Co.+Pale Ale}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Firestone Walker Brewing Company+DBA (Double Barrel Ale)}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Firestone Walker Brewing Company+Pivo Pils}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Kona Brewing Company+Fire Rock Pale Ale}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Lagunitas Brewing Company+IPA}-{Boulevard Brewing Co.+Tank 7 Farmhouse Ale}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Lagunitas Brewing Company+IPA}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Sierra Nevada Brewing Co.+Pale Ale}-{Firestone Walker Brewing Company+805 Blonde}-{Firestone Walker Brewing Company+Pivo Pils}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Sierra Nevada Brewing Co.+Pale Ale}-{Firestone Walker Brewing Company+805 Blonde}-{Firestone Walker Brewing Company+Pivo Pils}-{Anchor Brewing Company+Anchor Steam Beer}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Sierra Nevada Brewing Co.+Pale Ale}-{New Belgium Brewing Company+Fat Tire}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Sierra Nevada Brewing Co.+Pale Ale}-{Sapporo Breweries+Sapporo Premium Beer}
